Subject,Fp1_delta,Fp1_theta,Fp1_alpha,Fp1_beta,Fp1_gamma,Fp2_delta,Fp2_theta,Fp2_alpha,Fp2_beta,Fp2_gamma,F3_delta,F3_theta,F3_alpha,F3_beta,F3_gamma,F4_delta,F4_theta,F4_alpha,F4_beta,F4_gamma,C3_delta,C3_theta,C3_alpha,C3_beta,C3_gamma,C4_delta,C4_theta,C4_alpha,C4_beta,C4_gamma,P3_delta,P3_theta,P3_alpha,P3_beta,P3_gamma,P4_delta,P4_theta,P4_alpha,P4_beta,P4_gamma,O1_delta,O1_theta,O1_alpha,O1_beta,O1_gamma,O2_delta,O2_theta,O2_alpha,O2_beta,O2_gamma,F7_delta,F7_theta,F7_alpha,F7_beta,F7_gamma,F8_delta,F8_theta,F8_alpha,F8_beta,F8_gamma,T3_delta,T3_theta,T3_alpha,T3_beta,T3_gamma,T4_delta,T4_theta,T4_alpha,T4_beta,T4_gamma,T5_delta,T5_theta,T5_alpha,T5_beta,T5_gamma,T6_delta,T6_theta,T6_alpha,T6_beta,T6_gamma,Fz_delta,Fz_theta,Fz_alpha,Fz_beta,Fz_gamma,Cz_delta,Cz_theta,Cz_alpha,Cz_beta,Cz_gamma,Pz_delta,Pz_theta,Pz_alpha,Pz_beta,Pz_gamma
sub-023,3.862988618441365e-12,1.4178928809713724e-12,1.0319028202013642e-12,4.997097148624234e-13,4.0108197641585575e-13,1.6003255373578257e-12,1.2556837304733605e-12,7.563895666809887e-13,3.399952256559657e-13,2.1345747224760176e-13,2.499852639846151e-12,1.655578674421952e-12,1.326772976061017e-12,5.267220177638292e-13,4.065939604765351e-13,4.354418006633556e-12,2.0791137620721664e-12,1.1677059209102051e-12,5.681012814012551e-13,4.409311890892365e-13,1.4181021242208627e-12,1.2827678233787217e-12,1.013017100744478e-12,3.5750500533157254e-13,1.8855666193965304e-13,2.2383038926171417e-12,9.220701669713448e-13,9.677594500166058e-13,3.7934001452030553e-13,3.149764646079534e-13,4.80978477540701e-12,2.019475107089555e-12,1.5618530626555146e-12,2.695459968492758e-13,8.279451931928885e-14,7.531974794949004e-12,1.930955884564864e-12,1.4428259509631964e-12,2.589319093833882e-13,1.3683677363152563e-13,1.5200065210744493e-11,2.9882795149591777e-12,2.682314145895004e-12,3.0754784021848036e-13,1.174305290801384e-13,2.674554234337332e-11,5.0452499166065516e-12,3.211221797368548e-12,3.1680650374798165e-13,2.9558656517723103e-13,6.1562629039893135e-12,1.941569918443294e-12,1.2876955265709296e-12,3.760564257699118e-13,3.6287021737706645e-13,2.6881819664758637e-12,1.1098225597949e-12,6.980307438671844e-13,1.874104158641855e-13,1.4560850725266495e-13,4.341933023020978e-12,1.7292388275764555e-12,1.0940472811574774e-12,5.087227976866044e-13,5.305926161579722e-13,4.744663984462267e-12,1.3845040648122509e-12,1.1235256717985528e-12,9.61066376902422e-13,1.3252063155275599e-12,4.738186827347845e-12,2.856463777866941e-12,3.8197950218745295e-12,3.774102609329056e-13,1.7969467774149043e-13,1.0924392871339656e-11,2.4300356963808743e-12,2.3514451887901147e-12,3.2167120326116574e-13,1.8763994992570182e-13,2.5370005615831173e-12,3.496870084653926e-12,1.2615007309439713e-12,2.1484795665335086e-13,6.454928639072763e-14,2.1217589423774214e-12,1.5015499576370377e-12,7.271291801418842e-13,1.5138775302357078e-13,3.668689617945292e-14,7.261501208414061e-12,2.3462617650291075e-12,1.168924631767315e-12,2.0632325091192755e-13,4.1906555393975996e-14
sub-024,9.946372447489914e-12,5.1384690752719125e-12,1.4461759519052551e-12,2.6861052764239e-13,1.3551652457450673e-13,6.411438679487812e-12,4.151425807483202e-12,1.2163131581418369e-12,1.8594633024269367e-13,6.532733907991462e-14,4.672841709976809e-12,5.433244953424149e-12,1.627737177916283e-12,2.951386264825716e-13,6.440533677986859e-14,4.3415609232324524e-12,4.186469020898199e-12,1.2422666267392712e-12,2.1371803528301717e-13,5.695014429183075e-14,2.597944656137273e-12,3.088667123357361e-12,9.686985011414792e-13,2.0129877563502923e-13,2.579598741937533e-14,2.8117040655731603e-12,2.707586152312883e-12,7.636767654053395e-13,1.3612734009219236e-13,3.206942470789743e-14,4.662303868231839e-12,3.9553329278923484e-12,1.3609747248624284e-12,1.8499326352065403e-13,2.5625282489347192e-14,9.072774954522048e-12,4.236624175838957e-12,1.11244677874216e-12,1.301754957378884e-13,2.0941360084312234e-14,5.855947967016906e-12,3.4319445011597018e-12,1.2920433481962712e-12,2.022520940738349e-13,7.864969998466687e-14,8.092186076638589e-12,3.769669411718293e-12,1.2496162762508806e-12,1.9179877735778895e-13,8.043085640763741e-14,1.4173786589332659e-11,6.294485197427431e-12,1.731553655078585e-12,2.433108943751555e-13,7.101282316877867e-14,6.821735807382471e-12,3.6598299992266966e-12,1.0670403625543668e-12,1.7222157789352239e-13,5.1024125729244574e-14,8.811069299477988e-12,6.750771389689207e-12,1.974193288627425e-12,2.558717321977565e-13,6.211798766646254e-14,6.69000083972126e-12,4.824921949103676e-12,1.332767066150766e-12,2.0986520914044573e-13,7.695604020130509e-14,4.714463562755373e-12,5.426939931689533e-12,1.772367890824331e-12,2.6452099629967245e-13,7.364191228900031e-14,4.903651208765666e-12,4.855178960621258e-12,1.3209016615492372e-12,2.0424589164724687e-13,6.982529583270499e-14,4.694408292972671e-12,5.635554280057848e-12,1.4256014041282015e-12,1.861903276586096e-13,3.071414220111215e-14,3.2523719546301557e-12,2.0428909347744255e-12,7.58740510843217e-13,1.7777950187167859e-13,1.601530868353104e-14,6.0728013005891364e-12,3.1150515868164873e-12,9.77325577540646e-13,1.101257091488086e-13,1.701395677151671e-14
sub-025,6.79220222842391e-12,5.967745906410764e-13,3.7439863978496346e-12,3.985167046319354e-13,4.2976858921359995e-13,1.9728466249345183e-12,4.393281159772214e-13,3.7235949270756025e-12,1.8479607039260226e-13,1.384585125440867e-13,6.2396199068488264e-12,7.286393263593314e-13,4.03859665906791e-12,5.860908876287954e-13,8.663721237996737e-13,8.784880994597974e-12,7.706013537135726e-13,3.9926202292936936e-12,5.230847075502486e-13,6.766343239526732e-13,2.3176254543887427e-12,3.572249553900393e-13,1.3701502734107059e-12,4.890320007532795e-13,5.849116274082562e-13,1.4850684302913893e-12,2.738495009546191e-13,1.0267355222913583e-12,2.643254268704797e-13,2.770975801775038e-13,1.3635325581347153e-12,3.2991306016647104e-13,2.74937630491449e-12,2.486865935577436e-13,1.7108852233418643e-13,2.2772613976032207e-12,4.609289232036672e-13,3.984878024435131e-12,2.1198415200298637e-13,1.1303738494502993e-13,7.34534258355409e-12,1.5924623798202613e-12,1.5535411677291675e-11,4.006130730825425e-13,1.8700043049468074e-13,1.007859252978893e-11,1.6374098318206368e-12,1.6491295107735177e-11,4.44631576489156e-13,1.7535244937384799e-13,1.3319444594425777e-11,6.939930578173725e-13,3.5077328989078026e-12,1.9070046647757763e-12,2.527648115580105e-12,1.2921918127262986e-11,6.991492758559208e-13,3.4466551905168313e-12,1.3412362292937591e-12,1.501486690526835e-12,6.28493574612526e-12,6.130513197182024e-13,1.4945306357247588e-12,1.3959919579491008e-12,2.03997669585943e-12,7.929235932258855e-12,5.907954536586351e-13,1.2100026819264696e-12,9.494031751366544e-13,1.1267257083228956e-12,2.6419086786513356e-12,1.3595775659345803e-12,6.6038280671086774e-12,5.547050902855759e-13,4.793791368216299e-13,2.9010357833104872e-12,1.4835883439383756e-12,9.308827809784e-12,4.710957442234775e-13,2.6365945637539783e-13,1.917424952320551e-12,7.515499846421519e-13,4.765917851307598e-12,1.8443679522785718e-13,1.1375664182190464e-13,1.3621262702902968e-12,6.603100050735478e-13,2.4326587119574e-12,1.7068753106653568e-13,8.034203539573852e-14,1.7325218576587611e-12,2.992523232448369e-13,2.3102839139834866e-12,1.4138031857321888e-13,6.389401766858849e-14
sub-026,5.392609143718289e-12,2.0099965285757295e-12,5.311052634548294e-13,3.830063243592871e-13,5.24121173544316e-13,4.8037140703376295e-12,1.8001384098401546e-12,4.809504952927968e-13,3.3286853091083594e-13,4.627239363116989e-13,7.948273288347939e-12,2.932399767168907e-12,9.64321785842003e-13,1.644520951554386e-12,2.6293096408959795e-12,1.7976172863232513e-11,2.8836773306281233e-12,1.106502947269195e-12,2.266744734646784e-12,3.789117694404813e-12,3.2497058878349915e-12,1.0560235770877578e-12,7.246389036725581e-13,1.2450661147819276e-12,1.9819335964454214e-12,8.885560474307973e-12,1.0201933467529338e-12,8.235614600307024e-13,1.5491877819567337e-12,2.5985803939692162e-12,9.859763388273435e-12,1.9824177421249064e-12,6.734801273030197e-13,2.687740281069478e-13,2.859507876889212e-13,5.79905952980034e-12,2.178544553876959e-12,6.137365675410878e-13,1.8278541587882659e-13,1.8790528300336057e-13,1.9868449250820227e-11,3.509176936412572e-12,1.2667798176172952e-12,5.197840717373226e-13,5.269120302573441e-13,3.864839243826649e-11,4.958122527712628e-12,1.5431489465197548e-12,5.603989534354258e-13,5.419034278950235e-13,1.7359041384784007e-11,4.822260587246489e-12,2.3435950634706696e-12,5.4747096941302864e-12,8.458465541932517e-12,1.4288312895562171e-11,2.1085781476476753e-12,8.181633430803557e-13,1.5858807888264933e-12,2.7312552991791096e-12,7.429187321283325e-12,1.745949016218687e-12,8.730810539734479e-13,1.2089435328700733e-12,1.5287716657260463e-12,9.102996438444842e-12,1.475379029739665e-12,7.562517452855242e-13,9.351323061669715e-13,1.3827280062998424e-12,8.788731736397256e-12,1.9833614244827094e-12,7.425759378236973e-13,5.354933103596522e-13,6.320390799024989e-13,9.27998207113639e-12,4.499603163179242e-12,1.1951363414495962e-12,4.306299976010949e-13,4.936902359551609e-13,4.02590956416135e-12,2.92880335724545e-12,7.518689902858132e-13,2.1156664400965114e-13,1.5904170041946064e-13,2.6470537860811105e-12,1.5952468924826205e-12,7.827327829757088e-13,2.0629562732883469e-13,1.0602405112698092e-13,7.892299102607778e-12,1.863606988502674e-12,5.958125750302604e-13,1.4630782293763862e-13,1.31251705598074e-13
sub-027,3.737442974487821e-11,1.3058153917890132e-11,1.0110821709144348e-12,3.5363001683396434e-13,1.634041380744708e-13,4.637461244085647e-11,1.475548560948978e-11,9.884039571160506e-13,3.5332602604227534e-13,2.10160007545714e-13,3.72845100692746e-11,2.1210000560894226e-11,1.0889475603930701e-12,3.383634647721016e-13,1.8225881119470538e-13,3.271469817321879e-11,1.7231968524958844e-11,1.0414957576608346e-12,5.754343392936322e-13,7.363240942216183e-13,1.1966191772974263e-11,5.577355138503836e-12,6.833905747265123e-13,4.4719294710898137e-13,3.2191110973851334e-13,1.4808492338104783e-11,4.9230553906475636e-12,8.191854010672958e-13,8.603425279554182e-13,1.0103885840465132e-12,1.6857784935837773e-11,6.828813642846819e-12,8.020569127554922e-13,2.0314378268407606e-13,9.627514473612262e-14,2.337870967619492e-11,8.92424553571019e-12,6.418466208105914e-13,1.922087239165236e-13,1.2322494482955658e-13,2.4663276228514198e-11,1.0154193956664615e-11,1.586766484766377e-12,2.4767784939692377e-13,6.22969779156771e-14,4.1532101990561297e-11,1.2278046349868638e-11,1.5324371760752484e-12,2.6975307295748316e-13,1.0221306536350132e-13,4.0494824319557493e-11,9.574222884356002e-12,1.83714717522493e-12,8.18863958835134e-13,8.528106538278505e-13,5.224980293161867e-11,1.189587730524941e-11,1.5850317368809914e-12,9.223338281972412e-13,1.156184616423289e-12,1.6028786244533374e-11,5.488411630008313e-12,9.285641197317216e-13,5.497906850640593e-13,5.845974706938074e-13,3.4444291302068325e-11,1.0234951553604296e-11,2.47866935099309e-12,2.672494837349511e-12,3.168714565156653e-12,1.4391461973118868e-11,6.342443762129156e-12,9.34617085271236e-13,4.822460196874593e-13,5.103965899900808e-13,2.1493939436438528e-11,9.757669441242708e-12,9.456118607854502e-13,2.645310237181486e-13,2.2554964952169236e-13,3.516050887700746e-11,2.7477294122598487e-11,1.1852115795085304e-12,2.0763607853387526e-13,4.9266551245254884e-14,1.5761608863604228e-11,6.378015486361765e-12,8.692414480851983e-13,5.670402686579605e-13,7.974980016880896e-14,2.4038249719817024e-11,8.969385818716798e-12,7.491452877276556e-13,1.4909104246321996e-13,4.353659722010676e-14
sub-028,9.287100186418902e-12,3.943384099943671e-12,9.794784084299839e-13,3.20361875652779e-13,2.1779175138265865e-13,2.691644446535014e-12,2.405766232221453e-12,6.267417456350106e-13,1.1262919710151786e-13,3.109587147347535e-14,3.6610172966448425e-12,3.572460950214034e-12,8.204581488348653e-13,1.7859839452362387e-13,6.43358331913261e-14,3.0390186142251087e-12,2.6178624262805048e-12,6.758086796493406e-13,1.6464357669075511e-13,7.005609609994301e-14,1.4876598951810736e-12,1.8811296656048e-12,4.713136050721828e-13,8.810677843540246e-14,1.934686741190207e-14,2.905798813745687e-12,3.110623864443624e-12,6.875829796885781e-13,1.180550683915907e-13,3.766797389339179e-14,3.779180226607613e-12,2.8835907378556403e-12,8.75256353443796e-13,1.4690376939670177e-13,2.4629933194954677e-14,5.045087945184915e-12,3.407617257507818e-12,6.865475626480355e-13,9.664082694332608e-14,1.852101345431762e-14,7.06649788382078e-12,2.647389086164929e-12,9.128122325904323e-13,1.7385194671528614e-13,7.281840216056088e-14,3.437620598935718e-12,2.1130014250136032e-12,6.211091373133029e-13,1.2164932060875383e-13,5.3899045282988386e-14,1.0863330253120846e-11,5.299658991520511e-12,1.1445897007404903e-12,1.921569329661551e-13,7.561897504102581e-14,3.84245163156631e-12,2.5791446044451172e-12,6.950239737432762e-13,1.2595653632374927e-13,4.9731329905921963e-14,7.826180958942794e-12,4.506628206401067e-12,1.120409467349609e-12,1.787903509357972e-13,5.4119172896861364e-14,4.128941925940677e-12,3.411999000426765e-12,8.921990440723889e-13,1.5623421050634487e-13,7.312861709120643e-14,2.6228966871431263e-12,3.2010213541759575e-12,9.16549682271532e-13,1.7509763847011166e-13,5.645484104344093e-14,3.8140653008584005e-12,3.144117879231299e-12,7.84700023130862e-13,1.3043624743464782e-13,3.911594289232707e-14,5.148013775151419e-12,3.4823595331412403e-12,7.691012810009539e-13,1.341899582212932e-13,2.7221092006002404e-14,2.4442438877276672e-12,1.6268988804393572e-12,5.610415664057215e-13,1.6100215968582637e-13,1.6446947373354692e-14,3.2008729935985712e-12,2.118188945120959e-12,5.74419302024671e-13,9.37611718644951e-14,1.688475150066111e-14
sub-029,8.78908566958989e-12,3.3545184227271876e-12,7.17376350430503e-13,1.6403203739921182e-13,7.571356498374426e-14,7.572783029860694e-12,3.654508170974246e-12,7.788678765629718e-13,2.7584715200165955e-13,1.6414953408553906e-13,7.510790531920175e-12,4.0773740874730225e-12,9.87199878066785e-13,3.319197683830143e-13,2.1523276977452253e-13,7.101048558749957e-12,4.274332555383423e-12,1.147853263316164e-12,6.281209052309484e-13,4.981374684696747e-13,4.885712491352136e-12,3.1662261186794266e-12,6.252866292480521e-13,1.906751487520634e-13,6.988695378316947e-14,3.739684078356441e-12,2.4215494196556664e-12,5.148059755558257e-13,1.7257576794783354e-13,5.482070613827378e-14,7.611484888599638e-12,4.232684057359583e-12,7.204046726590357e-13,1.2354344962853163e-13,4.038719894706964e-14,1.290621108815945e-11,4.271253938650133e-12,8.171407149049174e-13,1.3395700096275877e-13,4.1548804263907153e-14,1.131459764162284e-11,4.610200947699957e-12,1.3266483028334048e-12,2.4844842433654957e-13,9.6903474304768e-14,1.3201769483153417e-11,4.219682850439804e-12,1.2788278411715099e-12,2.551735091042277e-13,1.2253494652775897e-13,1.3759042222423786e-11,4.468429177797136e-12,9.797929408523775e-13,3.979279986947086e-13,2.8880030101851517e-13,2.038334057346774e-11,5.961538090968469e-12,1.999752255144263e-12,8.811859045988208e-13,4.42119318190689e-13,7.7031514863475e-12,4.899773523868338e-12,6.432096666651295e-13,2.8481921852686747e-13,2.2392088997177203e-13,5.606475276268872e-12,5.12630058704159e-12,8.737824585052577e-13,2.8884559605113544e-13,2.1583012190578821e-13,7.932630434441153e-12,4.817526285779401e-12,6.914461232949449e-13,1.3077043912612163e-13,5.6485724509389714e-14,7.989696062548447e-12,5.359583206404919e-12,9.632065949701348e-13,1.8197393843642912e-13,8.807463775470866e-14,5.511154401347588e-12,4.277585122755028e-12,7.328822975707532e-13,1.5619107532858915e-13,5.5875820349849044e-14,3.524075779923149e-12,1.924703792059769e-12,7.333055138030574e-13,2.515083435382575e-13,4.560830769118403e-14,6.228140410014293e-12,3.1404917573755094e-12,8.524186420270672e-13,1.3369002444300384e-13,3.556901404891188e-14
sub-030,1.4511423453486336e-10,1.6512182928929727e-11,3.6169701500123097e-12,1.5578301711891106e-12,1.1548680008225505e-12,1.6319521259638186e-10,1.533414271762122e-11,3.0273460593387534e-12,2.2211824131200125e-12,1.7331093498747224e-12,8.255214379644436e-11,1.9746226374329725e-11,2.9914875833255628e-12,5.463483024218386e-13,2.7815247048849787e-13,6.054879945125512e-11,1.471083471711864e-11,2.53475994334089e-12,1.2371773167003792e-12,8.098898883179955e-13,3.641665659844217e-11,8.710613698595199e-12,2.4400157565572767e-12,3.253791763730699e-13,9.153149542938198e-14,4.4197781575921695e-11,7.33666991050751e-12,2.55848557958039e-12,3.012549383877621e-13,1.5954159196362716e-13,4.050068065040863e-11,8.630545330085441e-12,2.5202113027994556e-12,2.238389110163014e-13,7.622993936070521e-14,5.3207834286438526e-11,7.467782146267385e-12,2.342839808829429e-12,4.0127576994869615e-13,3.128477086440846e-13,4.7654431999067235e-11,8.601870371326382e-12,2.4131632847332897e-12,7.257870673583379e-13,7.578508743022638e-13,1.1535489983059629e-10,9.263761884273485e-12,3.0826794880266863e-12,2.0374926659160968e-12,2.488124087590831e-12,1.042371626347187e-10,1.7411400649855034e-11,4.566024210805123e-12,6.124174727424552e-13,4.3174336332874825e-13,7.200306852736124e-11,1.373797100219004e-11,3.1950617545657305e-12,6.730339252469137e-13,6.384659162563447e-13,1.0373704597424467e-10,1.6694698921555155e-11,3.998665099127443e-12,3.991032494246278e-13,1.591065773665957e-13,6.862236440694121e-11,1.0777931551076547e-11,2.934340096326711e-12,5.384487613856395e-13,4.947203554669974e-13,6.507348879202706e-11,1.2525207243616214e-11,3.6287874026964768e-12,3.7341788576538275e-13,1.9992381927112407e-13,5.8129624598509834e-11,8.063150602470251e-12,2.4174014892469096e-12,4.696649658189917e-13,3.8549365849432275e-13,7.749884129932703e-11,2.7785227169996756e-11,2.7646512624555478e-12,5.876184727329463e-13,2.643708658963763e-13,5.26901803339329e-11,9.882256202268531e-12,1.8308344479896126e-12,3.183659279688632e-13,3.125735960338472e-13,3.789213514069785e-11,7.417446200314034e-12,1.919303769033631e-12,2.5899947713149874e-13,1.8064895964458886e-13
sub-031,1.9288943337611028e-12,7.829663939387912e-13,1.2700752700994487e-12,1.2742111191338196e-13,5.1881674337982946e-14,1.3444229449190055e-12,5.568451762615304e-13,9.603484185644962e-13,1.1055376765070522e-13,6.169981086040105e-14,4.003117795030896e-12,1.166921465740846e-12,1.7190372572808193e-12,4.4046136959832194e-13,3.617176468475615e-13,6.565955945120237e-12,1.0283635352741768e-12,1.3889356097958335e-12,2.684881620949031e-13,2.6564937279106595e-13,2.5819164320923943e-12,6.243176855940556e-13,1.0426177667686152e-12,3.417876905460614e-13,3.169253006442236e-13,2.300118919038843e-12,5.673594196343566e-13,7.574766351007418e-13,3.2947943932331615e-13,3.52698038083632e-13,1.973188561109532e-12,1.0202985732975023e-12,2.009776968410786e-12,1.8589280116586902e-13,6.698987170137757e-14,1.8994149850690215e-12,7.082456689599956e-13,1.19055303649791e-12,1.3620488859101282e-13,5.0589825003649746e-14,3.2049711278713455e-12,1.6630859570718145e-12,4.163248418246733e-12,2.930186883294202e-13,5.5201349544845184e-14,3.4660516706115176e-11,2.319500367633163e-12,6.4844769068349e-12,3.4987801628841156e-13,2.1144685784868908e-13,1.254594874659164e-11,1.3244822630948906e-12,1.4486686471957585e-12,5.3926248661063e-13,4.791233416908846e-13,9.807628119182122e-12,1.0184918000939531e-12,1.1718073788372514e-12,1.6814571677393824e-13,1.1762899129773192e-13,2.2998705850073053e-12,1.0270076590065515e-12,1.1775523974586648e-12,2.2459068206394562e-13,1.8795996196924905e-13,3.0128309420007155e-12,8.897591588086511e-13,7.274525296793977e-13,3.3718357270858417e-13,2.6666390582127495e-13,5.4453742873445824e-12,2.0015241579110073e-12,5.105297185410755e-12,2.376076911817978e-13,1.0198966183472215e-13,9.825534905151698e-12,1.7494208579705808e-12,3.502691827856646e-12,2.2487745812578122e-13,9.586045400152312e-14,2.7147434997810308e-12,1.263723182800452e-12,2.175213171178772e-12,1.5432642713919664e-13,4.7519289609984433e-14,1.664499687266113e-12,7.761769028607232e-13,1.800446013973626e-12,1.320300397633382e-13,3.314625058136028e-14,1.8581531448999674e-12,7.869276748428071e-13,1.932275120053646e-12,1.4773970355904848e-13,3.090958402492447e-14
sub-032,6.965050969075569e-12,2.3093342141619365e-12,1.0428036939472572e-12,3.8334552535404074e-13,2.165049939107547e-13,3.940017496855075e-12,2.391319204187107e-12,1.0714813958170195e-12,2.464254596858322e-13,5.088031760171562e-14,2.8777235126300035e-12,3.8038723347164045e-12,1.2593413592915691e-12,2.931357142274001e-13,3.980942586213428e-14,3.263213456529951e-12,4.064040105734531e-12,1.6141116627169108e-12,3.606260168877346e-13,4.4943765258890965e-14,1.3700379875595046e-12,2.0151017755304174e-12,9.168747680615586e-13,2.6561330310710834e-13,2.4008751316380644e-14,1.6171046720512634e-12,1.9379393001452673e-12,1.3412229362182932e-12,4.043103905436082e-13,3.753524557131371e-14,1.7497613667774036e-12,1.6983141111553408e-12,9.490510881055674e-13,2.350982606841484e-13,2.884346586774642e-14,2.9174175317788474e-12,2.326871881551675e-12,1.8214878168213928e-12,3.9059605703972743e-13,3.751741334495279e-14,3.3492295305927983e-12,3.563117952380317e-12,1.7773062468087167e-12,3.206739700806863e-13,4.082788156061828e-14,3.8019913492295814e-12,4.261824556318815e-12,3.2217344735146906e-12,4.812546051512984e-13,4.7821186075100347e-14,2.248681759035718e-12,2.400386492018921e-12,1.0078324772367693e-12,1.8748261607927356e-13,5.37805855213684e-14,2.8053039103051393e-12,1.9716284494675466e-12,1.0190344146790424e-12,2.0414231772136878e-13,6.112978918834213e-14,2.604641141613202e-12,2.9068014850622714e-12,1.3689903654571705e-12,2.332097111245061e-13,5.984309958461525e-14,2.354113610976853e-12,3.173172639121694e-12,1.4997760473507645e-12,2.5976980483889076e-13,5.934441335995958e-14,2.6146912150479788e-12,2.9608573749752234e-12,1.3524898626944013e-12,2.738308060840727e-13,4.249891474099418e-14,3.725611399869495e-12,5.1472885995959004e-12,3.18347640273571e-12,4.887724068725659e-13,7.169056960028854e-14,3.955463895130316e-12,5.171245751482792e-12,1.8435036744532624e-12,3.527924026968063e-13,3.5436966909956193e-14,2.129025315381285e-12,1.8161603302059468e-12,1.0182964828495625e-12,2.6581794920650216e-13,3.186203995870483e-14,1.6765026629127297e-12,1.5905657657554526e-12,1.0089305097662942e-12,2.0002762907232302e-13,2.4956458255693033e-14
sub-033,7.37299875782281e-12,1.0855837875104412e-12,1.2555872840406173e-12,8.865099895364191e-13,6.29056199261869e-13,4.615908526134063e-12,8.890836742505697e-13,9.436451298463716e-13,6.885261732708085e-13,3.421992371209638e-13,3.8752257820751826e-12,1.2990940393016488e-12,1.1698963086112076e-12,8.745616845673697e-13,5.990359708157802e-13,2.9287493667749733e-12,1.3694086682865617e-12,1.1748833089612438e-12,9.658119592521048e-13,4.810175018416553e-13,1.668631852221478e-12,6.316135353337014e-13,8.657546640142877e-13,4.2976356585668137e-13,1.491849774288647e-13,1.7106614835264735e-12,6.343574248469748e-13,1.4017974781591182e-12,6.323321755584379e-13,1.4423450837956796e-13,1.5221371501167207e-12,5.963585249676801e-13,1.3597664707599184e-12,5.032677341265445e-13,2.0907782706381607e-13,2.6289212215939917e-12,7.964359470771538e-13,1.8960398549636612e-12,6.128816011540406e-13,2.2574023123580986e-13,4.258154127362359e-12,1.1384229638341656e-12,2.073017061075242e-12,5.653111767803349e-13,2.4637905634256665e-13,3.929833823867519e-12,1.0809096883086516e-12,1.3311581211995707e-12,4.20614838949552e-13,2.5027160298225946e-13,1.2644540506829425e-11,2.2344607070681797e-12,3.4181976057299055e-12,5.7054772040278e-13,2.406435843813724e-13,1.499246005073119e-11,1.2128560396315813e-12,1.7295691681207482e-12,7.832846717878677e-13,2.9485834067995194e-13,3.3197604640211087e-12,1.7273906555647448e-12,4.142718777262568e-12,7.068173382730241e-13,3.935345454491954e-13,4.2598884461740266e-12,1.888486749467245e-12,3.69409029539128e-12,6.928807738325548e-13,3.2475646371608005e-13,2.2950214010786585e-12,1.1321244874551176e-12,2.757864295738011e-12,5.503593115924238e-13,2.541331117592625e-13,2.6774446223623805e-12,1.151259524741224e-12,2.3131176925139072e-12,5.76901878163664e-13,3.127161590845701e-13,2.794790885630165e-12,2.3576810596147128e-12,1.2670653896513616e-12,6.463892639940369e-13,4.233925781824409e-13,2.0476776608872057e-12,1.2137337904284044e-12,9.501337275674362e-13,4.649098466009715e-13,1.467795274106019e-13,2.8644416755968557e-12,6.170925172858395e-13,8.076270842547543e-13,3.328485152083193e-13,1.5951401075884904e-13
sub-034,8.89950996003465e-13,2.7153944770153226e-13,1.340131527032957e-13,5.6813759426670975e-14,1.5776574135112323e-14,7.904049452676974e-13,2.681097225410976e-13,1.0445105938639276e-13,3.420437427438341e-14,1.2561343899083817e-14,1.1248245702682004e-11,1.5131325839227485e-12,4.006735785140578e-13,2.2310676420091353e-13,1.2742471530797258e-13,1.5280681510118072e-12,9.664170335011586e-13,3.5261929899730495e-13,1.4595046186617706e-13,4.268452294352569e-14,1.488992100122611e-12,6.407953449400961e-13,3.0862179533040225e-13,2.2211741065596974e-13,1.1581017448361644e-13,4.310246572831864e-12,7.280423765292785e-13,3.886398191151734e-13,2.369565327828158e-13,3.0613520424404194e-14,3.988454145888444e-12,6.608332356678378e-13,3.1057695977234026e-13,1.5691666713767865e-13,2.6565726945341863e-14,2.47057366307931e-12,7.68326490208091e-13,4.4401703406668717e-13,2.130415441582267e-13,2.439975567973971e-14,2.439690942989719e-12,1.3142571107251067e-12,7.095784294117098e-13,1.8179486548250257e-13,2.5466849980955118e-14,3.2570449728007255e-12,1.334601382148044e-12,7.246289218564376e-13,1.9066761806963392e-13,3.050745480450668e-14,8.441999009110227e-12,2.063123255060601e-12,4.519112285519836e-13,2.3115785957617313e-13,2.0016004415799063e-13,1.2603761414009637e-12,8.031089459085247e-13,2.493647439685205e-13,7.524780752397525e-14,2.6328728274427176e-14,3.4337815333135804e-12,1.6747936761717876e-12,3.9314832942615323e-13,2.301837813624746e-13,1.842329569925937e-13,1.7626864750400423e-12,1.665745520669912e-12,5.13814200515459e-13,1.3937432391875308e-13,4.1755243031033506e-14,1.5738026913088149e-12,1.2650166670599207e-12,5.089982713108004e-13,1.7945463628902145e-13,3.76825628463227e-14,2.062331646425384e-12,1.607823499712802e-12,7.47744980912625e-13,2.1194750395806965e-13,3.28151436194917e-14,1.5208946363753226e-12,9.513660708965387e-13,3.0905663616196955e-13,1.1643675038324556e-13,2.2284904613620685e-14,1.6127151445723674e-12,8.417855398757294e-13,2.697717593822589e-13,9.777506251920945e-14,1.8189861043285393e-14,1.4335775368295487e-12,6.323012319560793e-13,1.8875424514351106e-13,8.446235594531579e-14,1.4232529084581154e-14
